# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
2	1.5	1	0.0889785	0.224296	-1.01811
2	1.5	1.5	0.0947034	0.202873	-0.720717
2	1.5	2	0.0867231	0.150648	-0.536543
2	1.5	2.5	0.0728255	0.0928689	-0.443982
2	1.5	3	0.0565722	0.0391948	-0.42804
2	1.5	3.5	0.03935	-0.00609207	-0.491978
2	1.5	4	0.0225399	-0.0361057	-0.359863
2	1.5	4.5	0.00876181	-0.0372265	-4.89999
2	2	0.5	0.0653717	0.0461576	-1.52749
2	2	1	0.100212	0.0656132	-1.03953
2	2	1.5	0.107282	0.0623704	-0.772942
2	2	2	0.0985819	0.0479955	-0.594322
2	2	2.5	0.0828708	0.0304993	-0.497656
2	2	3	0.0643359	0.0137494	-0.473326
2	2	3.5	0.0447193	-0.0001927	-0.521991
2	2	4	0.0256792	-0.00891977	-0.360984
2	2	4.5	0.0100989	-0.00911493	-4.86277
2	2.5	0.5	0.0675236	-0.0461576	-1.50804
2	2.5	1	0.103754	-0.0656132	-1.04278
2	2.5	1.5	0.111297	-0.0623704	-0.787317
2	2.5	2	0.102397	-0.0479955	-0.611819
2	2.5	2.5	0.0861129	-0.0304993	-0.514406
2	2.5	3	0.0668416	-0.0137494	-0.487269
2	2.5	3.5	0.0464523	0.0001927	-0.530719
2	2.5	4	0.0266982	0.00891977	-0.361179
2	2.5	4.5	0.0105401	0.00911493	-4.85365
2	3	0.5	0.0653717	-0.167861	-1.52749
2	3	1	0.100212	-0.223701	-1.03953
2	3	1.5	0.107282	-0.202281	-0.772942
2	3	2	0.0985819	-0.150056	-0.594322
2	3	2.5	0.0828708	-0.0922768	-0.497656
2	3	3	0.0643359	-0.0386029	-0.473326
2	3	3.5	0.0447193	0.0066867	-0.521991
2	3	4	0.0256792	0.0366752	-0.360984
2	3	4.5	0.0100989	0.0379726	-4.86277
2	3.5	0.5	0.058453	-0.418396	-1.58333
2	3.5	1	0.0889787	-0.480209	-1.01811
2	3.5	1.5	0.0947036	-0.393252	-0.720718
2	3.5	2	0.0867232	-0.274213	-0.536543
2	3.5	2.5	0.0728256	-0.161935	-0.443982
2	3.5	3	0.0565723	-0.0627834	-0.428037
2	3.5	3.5	0.0393502	0.0240349	-0.492003
2	3.5	4	0.02254	0.0906163	-0.359686
2	3.5	4.5	0.00876203	0.100648	-4.90074
2	4	0.5	0.0455746	-0.91063	-1.64515
2	4	1	0.0685943	-0.788061	-0.931156
2	4	1.5	0.0723701	-0.516974	-0.601679
2	4	2	0.06595	-0.284835	-0.424264
2	4	2.5	0.0553146	-0.103327	-0.344831
2	4	3	0.0430241	0.0480407	-0.341219
2	4	3.5	0.0299691	0.190531	-0.425422
2	4	4	0.0171074	0.32922	-0.349654
2	4	4.5	0.00652499	0.433015	-5.00139
2	4.5	0.5	0.0256926	-5.15413	-1.52258
2	4.5	1	0.0381536	-3.63155	-0.660069
2	4.5	1.5	0.0398786	-2.97148	-0.36954
2	4.5	2	0.0361714	-2.60194	-0.242757
2	4.5	2.5	0.0303158	-2.35919	-0.193463
2	4.5	3	0.0236236	-2.16572	-0.198728
2	4.5	3.5	0.0164915	-1.96699	-0.286733
