# This  a data file of potential over a plane
# Variables:  Top=1, Right=2, Bottom=3, Left=4, Front=-2, Back=-1, cycles=10000
  
21 25  0.82329
21 26  0.827436
21 27  0.827013
21 28  0.822028
21 29  0.812466
21 30  0.79829
21 31  0.779444
21 32  0.755858
21 33  0.727443
21 34  0.694106
21 35  0.655745
21 36  0.612263
21 37  0.563573
21 38  0.509605
21 39  0.450318
21 40  0.385714
21 41  0.315847
21 42  0.240838
21 43  0.160887
21 44  0.0762866
21 45  -0.0125722
21 46  -0.105198
21 47  -0.200906
21 48  -0.300635
21 49  -0.372735
21 50  -1
  
22 0  -2
22 1  -0.925685
22 2  -0.749376
22 3  -0.622511
22 4  -0.501055
22 5  -0.383445
22 6  -0.270254
22 7  -0.162055
22 8  -0.0592985
22 9  0.0376803
22 10  0.128658
22 11  0.213506
22 12  0.292179
22 13  0.364698
22 14  0.431136
22 15  0.491605
22 16  0.546244
22 17  0.595207
22 18  0.638657
22 19  0.676756
22 20  0.709662
22 21  0.737519
22 22  0.760459
22 23  0.778597
22 24  0.792027
22 25  0.800825
22 26  0.805041
22 27  0.804708
22 28  0.799834
22 29  0.790406
22 30  0.776395
22 31  0.757749
22 32  0.734404
22 33  0.706281
22 34  0.673297
22 35  0.63536
22 36  0.592386
22 37  0.544298
22 38  0.491039
22 39  0.432581
22 40  0.368935
22 41  0.300165
22 42  0.226397
22 43  0.147835
22 44  0.0647675
22 45  -0.0224192
22 46  -0.113246
22 47  -0.207046
22 48  -0.304779
22 49  -0.374822
22 50  -1
  
23 0  -2
23 1  -0.927562
23 2  -0.753102
23 3  -0.628034
23 4  -0.508299
23 5  -0.392313
23 6  -0.280636
23 7  -0.173826
23 8  -0.0723295
23 9  0.0235217
23 10  0.113503
23 11  0.197481
23 12  0.275405
23 13  0.347286
23 14  0.413189
23 15  0.473215
23 16  0.527492
23 17  0.576165
23 18  0.619388
23 19  0.657314
23 20  0.690092
23 21  0.717862
23 22  0.74075
23 23  0.758866
23 24  0.772302
23 25  0.78113
23 26  0.785402
23 27  0.785148
23 28  0.78038
23 29  0.771088
23 30  0.757243
23 31  0.738801
23 32  0.715701
23 33  0.687874
23 34  0.65524
23 35  0.617719
23 36  0.575234
23 37  0.527716
23 38  0.475118
23 39  0.417419
23 40  0.354639
23 41  0.286845
23 42  0.214169
23 43  0.136813
23 44  0.0550668
23 45  -0.0306922
23 46  -0.119994
23 47  -0.212185
23 48  -0.308244
23 49  -0.376567
23 50  -1
  
24 0  -2
24 1  -0.92907
24 2  -0.7561
24 3  -0.632483
24 4  -0.514145
24 5  -0.399488
24 6  -0.289059
24 7  -0.183408
24 8  -0.0829763
24 9  0.0119083
24 10  0.101021
24 11  0.184227
24 12  0.261471
24 13  0.33276
24 14  0.398151
24 15  0.457741
24 16  0.51165
24 17  0.560016
24 18  0.602988
24 19  0.640712
24 20  0.673333
24 21  0.700986
24 22  0.723792
24 23  0.741859
24 24  0.755277
24 25  0.764116
24 26  0.768428
24 27  0.768243
24 28  0.763574
24 29  0.754412
24 30  0.740733
24 31  0.722493
24 32  0.699639
24 33  0.672103
24 34  0.639812
24 35  0.60269
24 36  0.560667
24 37  0.513681
24 38  0.461689
24 39  0.404676
24 40  0.342665
24 41  0.275727
24 42  0.203996
24 43  0.127673
24 44  0.0470448
24 45  -0.0375163
24 46  -0.125549
24 47  -0.216408
24 48  -0.311087
24 49  -0.377997
24 50  -1
  
25 0  -2
25 1  -0.930234
25 2  -0.758416
25 3  -0.635927
25 4  -0.518683
25 5  -0.405075
25 6  -0.295642
25 7  -0.19093
25 8  -0.0913733
25 9  0.00270205
25 10  0.0910726
25 11  0.173605
25 12  0.250241
25 13  0.320986
25 14  0.385895
25 15  0.445061
25 16  0.498601
25 17  0.54665
25 18  0.589351
25 19  0.62685
25 20  0.659287
25 21  0.686794
25 22  0.709492
25 23  0.727485
25 24  0.740863
25 25  0.749694
25 26  0.754031
25 27  0.753903
25 28  0.749325
25 29  0.740288
25 30  0.726769
25 31  0.708729
25 32  0.686114
25 33  0.658861
25 34  0.6269
25 35  0.590158
25 36  0.548568
25 37  0.50207
25 38  0.450626
25 39  0.394223
25 40  0.332885
25 41  0.266685
25 42  0.195755
25 43  0.120298
25 44  0.0405941
25 45  -0.0429866
25 46  -0.129989
25 47  -0.219777
25 48  -0.313352
25 49  -0.379135
25 50  -1
  
26 0  -2
26 1  -0.93107
26 2  -0.760082
26 3  -0.638412
26 4  -0.521971
26 5  -0.409144
26 6  -0.300467
26 7  -0.196481
26 8  -0.0976166
26 9  -0.00419741
26 10  0.0835555
26 11  0.16551
26 12  0.24161
26 13  0.311861
26 14  0.376319
26 15  0.435075
26 16  0.488247
26 17  0.53597
26 18  0.578385
26 19  0.615636
26 20  0.647865
26 21  0.675201
26 22  0.697764
26 23  0.71566
26 24  0.728975
26 25  0.737781
26 26  0.742126
26 27  0.742044
26 28  0.737546
26 29  0.728627
26 30  0.715264
26 31  0.697417
26 32  0.675036
26 33  0.648056
26 34  0.616409
26 35  0.580025
26 36  0.538835
26 37  0.492783
26 38  0.441828
26 39  0.385959
26 40  0.325199
26 41  0.259621
26 42  0.189355
26 43  0.114601
26 44  0.0356363
26 45  -0.0471721
26 46  -0.133374
26 47  -0.222337
26 48  -0.315069
26 49  -0.379997
26 50  -1
  
27 0  -2
27 1  -0.931587
27 2  -0.761116
27 3  -0.639965
27 4  -0.524043
27 5  -0.411738
27 6  -0.303582
27 7  -0.200115
27 8  -0.101766
27 9  -0.00885423
27 10  0.0784012
27 11  0.159872
27 12  0.235505
27 13  0.30531
27 14  0.369345
27 15  0.427705
27 16  0.480509
27 17  0.527895
27 18  0.570007
27 19  0.60699
27 20  0.638985
27 21  0.666124
27 22  0.688528
27 23  0.706302
27 24  0.719534
27 25  0.728295
27 26  0.732634
27 27  0.732584
27 28  0.728158
27 29  0.71935
27 30  0.706136
27 31  0.688477
27 32  0.666321
27 33  0.639604
27 34  0.608258
27 35  0.572209
27 36  0.531389
27 37  0.485739
27 38  0.435218
27 39  0.37981
27 40  0.319537
27 41  0.254469
27 42  0.184732
27 43  0.110524
27 44  0.0321202
27 45  -0.0501168
27 46  -0.135739
27 47  -0.224116
27 48  -0.316257
27 49  -0.380591
27 50  -1
  
28 0  -2
28 1  -0.931785
28 2  -0.76152
28 3  -0.640589
28 4  -0.524908
28 5  -0.412867
28 6  -0.305001
28 7  -0.201851
28 8  -0.103844
28 9  -0.0112972
28 10  0.0755753
28 11  0.15665
28 12  0.231881
28 13  0.301282
28 14  0.364918
28 15  0.422891
28 16  0.475325
28 17  0.522362
28 18  0.564151
28 19  0.600841
28 20  0.632576
28 21  0.659491
28 22  0.68171
28 23  0.699337
28 24  0.712463
28 25  0.72116
28 26  0.725477
28 27  0.725448
28 28  0.721084
28 29  0.712379
28 30  0.699309
28 31  0.681833
28 32  0.659897
28 33  0.633436
28 34  0.602378
28 35  0.566646
28 36  0.526168
28 37  0.480882
28 38  0.430741
28 39  0.375726
28 40  0.315853
28 41  0.251188
28 42  0.181852
28 43  0.108039
28 44  0.0300208
28 45  -0.051841
28 46  -0.137099
28 47  -0.225124
28 48  -0.316923
28 49  -0.380923
28 50  -1
  
29 0  -2
29 1  -0.931659
29 2  -0.761283
29 3  -0.640269
29 4  -0.524545
29 5  -0.412509
29 6  -0.304704
29 7  -0.201671
29 8  -0.103839
29 9  -0.0115197
29 10  0.0750778
29 11  0.155838
29 12  0.230721
29 13  0.299754
29 14  0.363009
29 15  0.420596
29 16  0.47265
29 17  0.51932
29 18  0.560761
29 19  0.597129
29 20  0.628574
29 21  0.655236
29 22  0.677239
29 23  0.694693
29 24  0.707691
29 25  0.716303
29 26  0.720583
29 27  0.720562
29 28  0.716252
29 29  0.707646
29 30  0.694716
29 31  0.677421
29 32  0.655703
29 33  0.629493
